observed_ts,route_id,stop_id,stop_name,headway_sec,predicted_headway_sec,residual,online_model_score,baseline_zscore,baseline_ewma,baseline_threshold,label,incident_id,reason_labels
2026-02-05T11:00:00+00:00,7,705N,74 St - Broadway,224.0,78.39999999999999,145.60000000000002,0.18400000000000002,0.0,0.0,0.0,0,,[]
2026-02-05T11:00:00+00:00,7,726N,Queensboro Plaza,204.0,71.39999999999999,132.60000000000002,0.17738129496402882,0.0,0.0,0.0,0,,[]
2026-02-05T11:00:00+00:00,A,A15N,125 St,224.0,73.06884816753926,150.93115183246073,0.1910403208021743,0.0,0.0,0.0,0,,[]
2026-02-05T11:00:00+00:00,A,A27N,59 St - Columbus Circle,194.0,76.3931555149863,117.6068444850137,0.1628480136537805,0.0,0.0,0.0,0,,[]
2026-02-05T11:00:00+00:00,F,F09N,Jay St - MetroTech,244.0,66.29801870659537,177.70198129340463,0.21412478513402472,0.0,0.0,0.0,0,,[]
2026-02-05T11:00:00+00:00,F,F20N,Bergen St,284.0,102.41009517809309,181.5899048219069,0.2001083318332273,0.0,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,7,705N,74 St - Broadway,232.0,77.8420286892826,154.15797131071741,0.21774705195111163,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,7,726N,Queensboro Plaza,212.0,92.43090753318693,119.56909246681307,0.18416453309848263,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,A,A15N,125 St,232.0,116.03859448420846,115.96140551579154,0.1720292213890619,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,A,A27N,59 St - Columbus Circle,202.0,106.243106401939,95.756893598061,0.15889337018722058,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,F,F09N,Jay St - MetroTech,252.0,129.80129008258905,122.19870991741095,0.17514424325460934,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:05:00+00:00,F,F20N,Bergen St,292.0,156.38537954133233,135.61462045866767,0.17890500637753265,0.06666666666666667,0.0,0.0,0,,[]
2026-02-05T11:10:00+00:00,7,705N,74 St - Broadway,240.0,144.6193182962778,95.38068170372219,0.1590809880793644,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:10:00+00:00,7,726N,Queensboro Plaza,220.0,139.88486515809115,80.11513484190885,0.14660679042118588,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:10:00+00:00,A,A15N,125 St,240.0,163.8928048580314,76.10719514196859,0.13727373518643893,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:10:00+00:00,A,A27N,59 St - Columbus Circle,210.0,146.6616158649087,63.3383841350913,0.13463203463203463,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:10:00+00:00,F,F09N,Jay St - MetroTech,260.0,180.583164256471,79.41683574352899,0.14054539534900448,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:10:00+00:00,F,F20N,Bergen St,300.0,215.5094279633236,84.49057203667641,0.14065509936892182,0.1,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,7,705N,74 St - Broadway,248.0,210.4611508802073,37.5388491197927,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,7,726N,Queensboro Plaza,228.0,203.28879979987553,24.711200200124466,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,A,A15N,125 St,248.0,232.15202674186858,15.847973258131418,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,A,A27N,59 St - Columbus Circle,218.0,205.95255479882206,12.047445201177936,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,F,F09N,Jay St - MetroTech,268.0,254.8574762076709,13.142523792329087,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:15:00+00:00,F,F20N,Bergen St,308.0,302.7912471143976,5.208752885602394,0.1795093795093795,0.13333333333333333,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,7,705N,74 St - Broadway,256.0,291.71475981486697,-35.714759814866966,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,7,726N,Queensboro Plaza,236.0,239.65645576128233,-3.6564557612823307,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,A,A15N,125 St,256.0,253.6413436786353,2.358656321364691,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,A,A27N,59 St - Columbus Circle,226.0,215.3184105447531,10.681589455246893,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,F,F09N,Jay St - MetroTech,276.0,286.3295307102727,-10.329530710272707,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:20:00+00:00,F,F20N,Bergen St,316.0,309.09109330826675,6.90890669173325,0.22438672438672438,0.16666666666666666,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:25:00+00:00,7,705N,74 St - Broadway,264.0,279.60753901911653,-15.60753901911653,0.26926406926406926,0.2,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
2026-02-05T11:25:00+00:00,7,726N,Queensboro Plaza,244.0,232.7805636721547,11.219436327845301,0.26926406926406926,0.2,0.0,0.0,0,,"[""station baseline deviation"", ""rolling z-score jump""]"
